Group	ProcessNum	Brain (mg)	Body Weight (g)	Oviduct (mg)
CON	992	653	19.54	11.4
CON	993	646.7	17.59	4.6
CON	984	599.3	16.17	23.4
CON	986	686.2	19.42	18
CON	995	646.5	20.86	18.1
CON	982	598.4	17.63	18.3
T1h	746	776	21.53	12.5
T1h	751	665	17.14	NA
T1h	745	723.8	19.19	NA
T1h	749	766.5	21.33	NA
T1h	743	720	23.98	24.8
T1h	741	736	22.07	NA
T3h	777	672.8	16.56	2.8
T3h	767	606.8	27.56	21
T3h	774	664	22.02	NA
T3h	755	499	16.77	NA
T3h	765	622.4	22.33	NA
T3h	764	659.8	18.97	NA
T8h	208	682	18.72	4.5
T8h	205	1010	21.916	8
T8h	206	720	18.412	9
T8h	207	780	21.66	30
T8h	305	800	18.6	38
T8h	209	621	17.67	NA
T3d	413	661	17.44	20
T3d	302	600	20.9	25
T3d	414	758	18.85	25.4
T3d	244	733	15.5	NA
T3d	245	638	20	NA
T3d	248	701	19.6	NA
T7d	788	686.8	18.72	15.4
T7d	791	733.2	17.19	31.8
T7d	789	704.2	18.98	60.3
T7d	792	645.9	16.17	158.9
T7d	793	686.4	17.73	56.5
T7d	790	661.6	17.47	70.7
T14d	798	689.9	22.43	12.9
T14d	804	643.2	17.52	10.6
T14d	799	766.5	20.94	45.4
T14d	797	678.9	21.97	55.8
T14d	803	603	17.11	163.5
T14d	805	741	21.05	39.7